#,Word,Pinyin,Meaning,Example Sentence,Pinyin,English
57,??,xíguàn,habit; to be used to,???????,W? bù xíguàn z?o q?.,I’m not used to waking up early.
58,??,gu?nx?n,to care about,??????????,M?ma h?n gu?nx?n w? de xuéxí.,Mom cares a lot about my studies.
59,??,dìfang,place,??????????,Zhè shì yí gè ?njìng de dìfang.,This is a quiet place.
60,??,shìjiè,world,??????????,W? xi?ng qù shìjiè gèdì l?xíng.,I want to travel all over the world.
61,??,pásh?n,to climb a mountain,???????????,Zh?umò w?men yìq? qù pásh?n ba.,Let’s go climb a mountain this weekend.
62,??,l?yóu,to travel,????????,W? xi?ng qù Zh?ngguó l?yóu.,I want to travel to China.
63,??,t?yù,sports,?????????,W? x?hu?n kàn t?yù jiémù.,I like watching sports programs.
64,??,hàipà,to be afraid,????????,W? y?udi?nr hàipà h?i.,I'm a little afraid of the dark.
65,??,fùxí,to review,?????????,K?oshì qián yào h?oh?o fùxí.,You should review well before the exam.
66,??,shu?yá,to brush teeth,???????,Shuìjiào qián yào shu?yá.,Brush your teeth before bed.
67,???,x?sh?uji?n,restroom,???????,X?sh?uji?n zài n?l??,Where is the restroom?
68,??,huìyì,meeting,??????????,Xiàw? s?n di?n y?u yí gè huìyì.,There’s a meeting at 3 p.m.
69,??,j?xíng,to hold (event),?????????,Huìyì ji?ng zài B?ij?ng j?xíng.,The meeting will be held in Beijing.
70,??,d?s?o,to clean up,?????????,Zh?umò w? yào d?s?o fángji?n.,I will clean my room this weekend.
71,??,g?njìng,clean,??????,Fángji?n h?n g?njìng.,The room is very clean.
72,?,d?ng,light/lamp,??????,Q?ng b? d?ng d?k?i.,Please turn on the light.
73,?,céng,floor (of a building),???????,W? ji? zhù zài w? céng.,My home is on the 5th floor.
74,?,lóu,building; floor,????????,T? zhù zài zhè dòng lóu l?.,He lives in this building.
75,??,k?ngtiáo,air conditioner,????????,Xiàti?n líbuk?i k?ngtiáo.,Can’t live without AC in summer.
76,?,zhe,-ing (action in progress),?????“????”,T? xiàozhe shu?: “Méi wèntí.”,"He smiled and said, “No problem.”"
77,?,bèi,passive voice marker,????????,T? de qiánb?o bèi t?u le.,His wallet was stolen.
78,?,a,modal particle (emotion),?????,H?o piàoliang a!,So beautiful!
79,??,qíshí,actually,??????????,Qíshí w? bú tài x?hu?n ch? yú.,"Actually, I don’t like fish much."
80,??,háishi,or (in questions); still,????????,N? yào chá háishi k?f?i?,Do you want tea or coffee?
81,??,wénhuà,culture,???????????,W? duì Zh?ngguó wénhuà h?n g?n xìngqù.,I'm very interested in Chinese culture.
82,??,jiérì,holiday; festival,????????????,Ch?njié shì Zh?ngguó zuì zhòngyào de jiérì.,Spring Festival is the most important holiday in China.
83,??,y?nyuè,music,??????????,W? x?hu?n t?ng ?njìng de y?nyuè.,I like listening to quiet music.
84,??,zhàopiàn,photo,???????????,W? g?i n? kànkan w? ji? de zhàopiàn.,Let me show you a photo of my family.
85,??,jiémù,program (TV/show),??????????,Zhège jiémù f?icháng y?uyìsi.,This program is very interesting.
86,??,guóji?,country,????????,N? qù guò j? gè guóji??,How many countries have you been to?
87,??,chéngshì,city,?????????,B?ij?ng shì yí gè dà chéngshì.,Beijing is a big city.
88,??,dìtú,map,??????????,W? m?i le yì zh?ng Zh?ngguó dìtú.,I bought a map of China.
89,??,guóji?,country,???????????,W? x?hu?n zhège guóji? de wénhuà.,I like this country's culture.
90,??,g?ngj?n,kilogram,?????????,W? m?i le yì g?ngj?n pínggu?.,I bought one kilogram of apples.
91,??,biérén,other people,???????????,Bù yào b? biérén de d?ngxi ná z?u.,Don’t take other people’s things.
92,??,zìj?,oneself,???????,W? zìj? zuò de fàn.,I cooked the food myself.
93,??,bànf?,method; way,??????????,N? y?u méiy?u gèng h?o de bànf??,Do you have a better solution?
94,??,chéngwéi,to become,?????????,T? xi?ng chéngwéi yì míng l?osh?.,He wants to become a teacher.
95,??,zhòngyào,important,??????,?nquán zuì zhòngyào.,Safety is most important.
96,??,niánq?ng,young,????????,T? kàn q?lái h?n niánq?ng.,He looks very young.
97,??,rènzh?n,serious; focused,???????,T? xuéxí h?n rènzh?n.,He studies very seriously.
98,??,n?lì,hardworking,??????????,T? shì gè h?n n?lì de xuésh?ng.,He is a hardworking student.
99,??,c?ngmíng,smart; clever,??????????,"T? h?n c?ngmíng, y? h?n yòngg?ng.",She’s smart and also diligent.
100,??,gu?nxì,relationship; relevance,???????,Zhè hé w? méi gu?nxì.,This has nothing to do with me.
101,??,jùzi,sentence,???????????,Q?ng yòng zhège cí zào yí gè jùzi.,Please make a sentence with this word.
102,??,cíy?,word; phrase,??????????,Zhège cíy? shì shénme yìsi?,What does this word mean?
103,??,f?y?n,pronunciation,???????,N? de f?y?n h?n h?o.,Your pronunciation is very good.
104,??,hànzì,Chinese character,?????????,W? m?iti?n liànxí xi? hànzì.,I practice writing Chinese characters every day.
105,??,zuòyè,homework,????????,N? xi? wán zuòyè le ma?,Have you finished your homework?
106,??,k?oshì,exam,??????????,Míngti?n w?men y?u Hàny? k?oshì.,We have a Chinese exam tomorrow.
107,??,chéngjì,grade; result,?????????,T? de k?oshì chéngjì h?n h?o.,His exam result is very good.
108,??,jùzi,sentence,????????,Zhège jùzi bú tài duì.,This sentence isn’t quite right.
109,??,yìsi,meaning,???????????,N? zh?dào zhège cí de yìsi ma?,Do you know the meaning of this word?
110,??,b?ngmáng,to help (a favor),?????????,"Q?ng n? b?ng gè máng, h?o ma?",Can you do me a favor?
111,???,huìyìshì,meeting room,???????,Huìyìshì zài s?n lóu.,The meeting room is on the 3rd floor.
112,??,fùjìn,nearby,???????,Fùjìn y?u ch?oshì ma?,Is there a supermarket nearby?
113,??,yínháng,bank,???????,W? qù yínháng huàn qián.,I went to the bank to exchange money.
114,??,ch?oshì,supermarket,???????,Ch?oshì l? rén h?n du?.,There are many people in the supermarket.
115,??,g?ngyuán,park,?????????,W? chángcháng qù g?ngyuán p?obù.,I often go jogging in the park.
116,??,y?yuàn,hospital,???????????,"T? sh?ngbìng le, xiànzài zài y?yuàn.",He’s sick and is in the hospital.
117,??,dìti?,subway,????????,W? zuò dìti? qù xuéxiào.,I take the subway to school.
118,????,g?nggòng qìch?,public bus,???????????,W? m?iti?n zuò g?nggòng qìch? shàngb?n.,I take the bus to work every day.
119,???,hu?ch?zhàn,train station,?????????,Hu?ch?zhàn lí zhèr h?n jìn.,The train station is close by.
120,??,j?ch?ng,airport,???????,W? zài j?ch?ng d?ng n?.,I’ll wait for you at the airport.
121,??,jiànk?ng,health; healthy,????????,Sh?nt? jiànk?ng zuì zhòngyào.,Health is most important.
122,??,g?nmào,to catch a cold,??????????,"T? g?nmào le, zàiji? xi?xi.",He caught a cold and is resting at home.
123,??,f?sh?o,to have a fever,???????,T? zuóti?n f?sh?o le.,He had a fever yesterday.
124,??,ji?nchá,to check; examine,??????????,Y?sh?ng ràng w? qù ji?nchá sh?nt?.,The doctor told me to get a check-up.
125,??,xi?xi,to rest,??????????,N? lèi le jiù xi?xi yíxià ba.,Take a rest if you're tired.
126,??,q?chuáng,to get up,?????????,W? m?iti?n liù di?n bàn q?chuáng.,I get up at 6:30 every day.
127,??,shuìjiào,to sleep,????????,T? h?n z?o jiù shuìjiào le.,She went to bed early.
128,??,màozi,hat,?????????,T? dàizhe yì d?ng h?i màozi.,He's wearing a black hat.
129,??,kùzi,pants,?????????,W? xi?ng m?i yì tiáo x?n kùzi.,I want to buy a new pair of pants.
130,??,qúnzi,skirt,???????????,T? chu?n le yì tiáo piàoliang de qúnzi.,She wore a beautiful skirt.
131,?,xié,shoes,???????,W? de xié tài xi?o le.,My shoes are too small.
132,??,jiàoshì,classroom,??????????,W?men d?u zài jiàoshì d?ng l?osh?.,We’re waiting for the teacher in the classroom.
133,??,h?ib?n,blackboard,???????,Q?ng dàji? kàn h?ib?n.,"Everyone, please look at the blackboard."
134,??,niánjí,grade (school year),????????,W? j?nnián shàng s?n niánjí.,I'm in 3rd grade this year.
135,??,xiàozh?ng,principal,??????,Xiàozh?ng zài k?ihuì.,The principal is in a meeting.
136,???,bàng?ngshì,office,????????,Q?ng dào bàng?ngshì zh?o w?.,Please come find me in the office.
137,??,b?sài,competition,??????????????,W?men xuéxiào j?xíng le yì ch?ng lánqiú b?sài.,Our school held a basketball game.
138,??,x?nwén,news,?????????,W? m?iti?n z?oshang kàn x?nwén.,I watch the news every morning.
139,??,zhàogù,to take care of,????????,T? zài ji? zhàogù háizi.,She takes care of the kids at home.
140,??,jiéshù,to finish,????????,B?sài y?j?ng jiéshù le.,The match is already over.
141,??,y?ngxi?ng,to influence,???????????,T? de huà y?ngxi?ng le w? de juédìng.,His words influenced my decision.
142,??,ji?nd?n,simple,????????,Zhège wèntí h?n ji?nd?n.,This problem is simple.
143,??,rènzh?n,serious,???????,T? g?ngzuò h?n rènzh?n.,He works very seriously.
144,??,bànf?,method; solution,??????????,W? méiy?u gèng h?o de bànf? le.,I don't have a better solution.
145,??,j?huì,opportunity,??????????,Zhè shì yí gè h?n h?o de j?huì.,This is a good opportunity.
146,??,chéngg?ng,to succeed,???????,T? zh?ngyú chéngg?ng le.,He finally succeeded.
147,??,cídi?n,dictionary,???????????,N? k?y? yòng cídi?n chá zhège cí.,You can look up this word in a dictionary.
148,????,diànz? yóujiàn,email,????????????,W? g?i n? f? le yì f?ng diànz? yóujiàn.,I sent you an email.
149,??,k?ngtiáo,air conditioner,???????,Q?ng b? k?ngtiáo d?k?i.,Please turn on the air conditioner.
150,??,xíngli,luggage,????????,W? de xíngli tài du? le.,I have too much luggage.
151,??,kuàizi,chopsticks,???????,N? huì yòng kuàizi ma?,Can you use chopsticks?
152,??,y?nliào,drink; beverage,????????,N? xi?ng h? di?n y?nliào ma?,Would you like something to drink?
153,??,dàng?o,cake,?????????,T? zuò de dàng?o h?n h?och?.,Her cake is delicious.
154,??,xióngm?o,panda,???????????,W? zuì x?hu?n de dòngwù shì xióngm?o.,My favorite animal is the panda.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
